Title,Authors,Year,Method,Key Abuse Types(s),Role of Smart Homes,Mitigation mechanisms,Detection mechanisms,Response  mechanisms
HOMECTRL: An Example of Practice-Based Artistic Research as a Methodology in Surveillance Studies,"Wellendorf K., Veel K., Graabæk M.M.D.",2022,Practice-based artistic research,Monitoring/surveillance; remote control; environmental control; coercive control; access persistence; psychological manipulation (including gaslighting); privacy intrusion,Abuse Facilitation + Mitigation ,"Use of speculative artistic scenarios and practice-based research to reveal how IoT technologies enable control and abuse, informing ethical design considerations and awareness of risks in smart home environments",Not addressed,Not addressed
Technology-Facilitated Domestic and Family Violence: Protecting the Privacy and Safety of Victim-Survivors,"Moses L.B., Breckenridge J., Gibson J., Lyons G.",2022,Law \& policy analysis,Surveillance and monitoring; tracking (locational surveillance); account takeover and access misuse; information/privacy breaches; remote control of devices; environmental manipulation; coercive control; harassment and intimidation; persistence of access; data exploitation,Abuse Facilitation + Mitigation + Support + Detection,"Use of safety technologies (e.g., duress alarms, CCTV, cyber safety audits), privacy-aware system design, stronger data protection practices, account separation mechanisms, and policy/legal reforms to reduce risks and prevent abuse","Use of surveillance technologies (e.g., CCTV, monitoring devices), recording tools, and system logs to identify abusive behaviour","Use of surveillance recordings and system logs as evidence to support victims in reporting abuse and obtaining protection (e.g., protection orders)"
Smart Home as a Silent Witness-A Survey,"Köhler E., Spiekermann D.",2022,Survey + interviews,Continuous monitoring/surveillance; data recording and logging; device ubiquity and invisibility; passive data collection; environmental sensing,Abuse Facilitation + Detection + Support,Not addressed,Identification and detection of smart home devices in investigations; recognising IoT devices as sources of digital evidence; improving detection capabilities of first responders through training,"Use of smart home data (logs, recordings, stored events) as digital evidence to support investigations and legal processes after abuse"
Research into Modern-Day Domestic Abuse and Digital Coercive Control: Focus on How a Framework could Assist Stakeholders with Technical Evidence Gathering in Order to Incriminate Abusers,"Smith M., Jahankhani H.",2022,Qualitative study + framework design,Monitoring/surveillance; stalking and location tracking; remote device control; access control misuse; coercive control; data/privacy exploitation; technology-enabled harassment; gaslighting; device-based eavesdropping; persistence of access,Detection + Mitigation + Support+ Abuse Facilitation,"Design and system-level safety features including remote access notifications, shared/admin account structures, device activity alerts, safety warnings, and network-level device discovery notifications to prevent covert abuse","Use of device activity monitoring, network notifications, and investigation frameworks to identify abusive behaviour, including tracking device access, identifying hidden devices, and analysing IoT data across victim and perpetrator devices","Post-abuse support through emergency triggers (e.g., safety words activating recording or alerts), evidence collection and preservation (e.g., permanent logs, recordings), victim support processes (e.g., counselling, device security assistance), and structured law enforcement response frameworks"
The Role of IoT in Woman's Safety: A Systematic Literature Review,"Farooq M.S., Masooma A., Omer U., Tehseen R., Gilani S.A.M., Atal Z.",2023,Systematic literature review (SLR),Stalking/location tracking (indirect); monitoring/surveillance (indirect); data collection; potential misuse of tracking systems,Detection + Mitigation + Support,"Use of IoT-based safety devices and system design features such as automatic alert generation, wearable integration, multi-sensor architectures, and communication technologies (e.g., GPS, GSM) to prevent or reduce harm in dangerous situations","Use of sensors (e.g., pulse-rate, temperature, motion), machine learning algorithms, and data analysis to detect abnormal physiological or behavioural patterns indicating potential danger","Emergency alerting and communication mechanisms, including automatic message transmission, location sharing, and notifying guardians or authorities to enable assistance during or after dangerous situations"
“It’s the Equivalent of Feeling Like You’re in Jail”: Lessons from Firsthand and Secondhand Accounts of IoT-Enabled Intimate Partner Abuse,"Stephenson S., Almansoori M., Emami-Naeini P., Chatterjee R.",2023,Qualitative study (semi-structured interviews),Monitoring/surveillance; remote/device control; access/control misuse; coercive control (incl. psychological abuse) ,Abuse Facilitation+ Detection + Mitigation + Support,"Practical mitigation strategies used by victim-survivors, including device removal, configuration changes (e.g., resetting passwords, revoking access), physical relocation of devices, and seeking legal or external assistance","Manual and experience-based identification of abuse, including recognising suspicious behaviour, inspecting device settings, analysing unusual activity, and physically searching for hidden IoT devices","Support mechanisms involving advocates, law enforcement, victim service providers, and external technical or legal services assisting victims in identifying, responding to, and mitigating IoT abuse"
Abuse Vectors: A Framework for Conceptualizing IoT-Enabled Interpersonal Abuse,"Stephenson S., Almansoori M., Emami-Naeini P., Huang D.Y., Chatterjee R.",2023,Qualitative descriptive study (large-scale web content analysis),Surveillance (audio/video); stalking/location tracking; unauthorized access/control; device manipulation; coercive control; harassment; gaslighting; data access/privacy invasion; environmental control,Abuse Facilitation+ Detection + Mitigation + Support,"Conceptual and design-oriented mitigation strategies derived from the abuse vectors framework, including detection of covert devices, improved access control, revocation mechanisms, and safer device design practices","Identification of IoT-enabled abuse through analysis of device behaviors and abuse patterns, alongside proposed need for detection mechanisms such as hidden device discovery and monitoring of suspicious device activity","Indirect support through structured understanding of abuse and guidance for stakeholders, including researchers, designers, and service providers, to better respond to IoT-enabled interpersonal abuse"
Domestic Violence Detection Using Smart Microphones,"Muraleedharan A., Garcia-Constantino M.",2023,System design + experimental evaluation (deep learning model),Not addressed ,Detection + Mitigation + Support,Early intervention through real-time monitoring and automatic alert generation to reduce escalation of domestic violence situations,"Automated detection of domestic violence using smart microphones and deep learning models to classify audio signals such as screaming, shouting, and crying","Automatic alert and notification mechanisms that inform relatives, friends, or registered contacts to provide assistance during detected domestic violence incidents"
"TECHNOLOGY-FACILITATED ABUSE AND THE INTERNET OF THINGS (IOT): The implication of the smart, internet-connected devices on domestic violence and abuse",Tanczer L.M.,2023,Conceptual analysis (literature-based discussion),Monitoring/surveillance; stalking/location tracking; coercive control; access/control misuse; psychological manipulation; physical/environmental control; data/privacy exploitation,Abuse Facilitation + Mitigation + Support,"Socio-technical mitigation strategies including improved IoT security and usability, stronger authentication and access control, privacy-aware design, risk-informed system design, and regulatory and policy interventions",Not addressed,"Support mechanisms including specialised helplines, technical support services, training for frontline staff, risk assessment integration, safety planning, and improved coordination between support services and law enforcement"
Should we embrace “Big Sister”? Smart speakers as a means to combat intimate partner violence,"Sparrow R., Andrejevic M., Harris B.",2023,Conceptual + ethical analysis,Surveillance (audio); coercive control; emotional/psychological abuse; monitoring of behaviour; gendered control of technology; data/privacy invasion; environmental control (via IoT); risk prediction through behavioral monitoring,Abuse Facilitation+ Detection  + Support,Not addressed,"Use of smart speakers and AI-based audio analysis to detect domestic violence through signals such as screams, shouting, crying, explicit verbal threats, and patterns of emotional or coercive behaviour","Post-detection response mechanisms such as automatically alerting police or emergency services, notifying contacts, providing information about support services, and using recordings or system data as evidence for intervention"
IoT-Facilitated Intimate Partner Abuse,"Rafique S.H., Abdallah A., Shuaib K.",2023,Literature review,surveillance; remote/device control; location tracking; coercive control; access/control misuse,Abuse Facilitation + Mitigation + Detection ,"General IoT security mechanisms such as intrusion detection and prevention systems (IDS/IPS), access control models (e.g., RBAC), encryption, and authentication, primarily aimed at preventing unauthorized external access rather than interpersonal abuse in shared-device contexts","Intrusion detection systems (IDS) used to monitor IoT networks and identify suspicious or malicious activity, focusing on external cyber threats rather than detecting interpersonal abuse behaviours",Not addressed
Understanding the Methodological Value of Mapping Alternative Fiction Scenarios in the Context of Domestic Violence,"Carvalho M.A., Hernández-Ramírez R., Ayanoglu H.",2024,Conceptual / design research,Monitoring/surveillance; remote/device control; environmental control; coercive control; psychological manipulation (gaslighting); privacy/data exploitation; technology misuse (repurposing of everyday devices),Abuse Facilitation + Mitigation ,"Use of speculative design and fictional scenarios to identify potential misuse of smart technologies and inform safer design practices, including transparency, consent mechanisms, and ethical system design",Not addressed,Not addressed
Safeguarding the “Internet of Things” for Victim-Survivors of Domestic and Family Violence: Anticipating Exploitative Use and Encouraging Safety-by-Design,"Brown A., Harkin D., Tanczer L.M.",2025,Empirical study (heuristic walkthrough and abuse analysis),"Monitoring/surveillance; remote access/control; access control misuse (primary vs secondary users); data access and privacy exploitation; covert surveillance; device integration misuse; unauthorized account/device access; credential exploitation (e.g., password-reset abuse); persistent access; coercive control; harassment and intimidation; gaslighting",Abuse Facilitation+ Detection + Mitigation ,"Safety-by-design redesign of IoT systems (transparency, access control, logs, indicators, authentication, integration control)","Access logs, sensor indicators, notifications revealing surveillance and device access",Not addressed
The Leaky Home: Conceptualizing the Remote Control of Smart Technologies in the Domestic Sphere,"Søilen K.L.G., Veel K.",2025,Conceptual / theoretical analysis,Remote access/control; monitoring/surveillance; omnipresent tracking; coercive control; harassment and intimidation; gaslighting; location tracking; data leakage/information flow exploitation; psychological control (perceived surveillance); control through device ownership and account setup; normalization of surveillance (care-control overlap),Abuse Facilitation,Not addressed,Not addressed,Not addressed
Spy-oT: Understanding How Users Learn to Use Internet of Things Devices For Abusive Purposes,"Turk K.I., Hutchings A.",2025,Exploratory experimental study,"Surveillance/monitoring (audio, video, logs); harassment; coercive control; gaslighting (manipulation/tampering); access control abuse (ownership-based control, privilege misuse); restriction of access; infiltration/unauthorized access; information exposure; functionality-enabled misuse (non-technical exploitation of device features)",Abuse Facilitation + Mitigation,"Redesigning access control systems (e.g., avoiding single superuser models, supporting multiple-superuser or alternative privilege structures); removing or limiting invasive features (e.g., disabling drop-in audio/video); improving user awareness via indicators and transparency mechanisms; and designing IoT systems with abuse-aware “safety-by-design” principles.",weak (log monitoring),Weak (awareness via logs only)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
